id;full_name;bio;city;is_developer
1;équipe afficher;proche;Valence;false
2;terriblement;d’autant que ci afin que;Pau;false
3;dessous;tranquille apprivoiser;Avignon;true
4;que bzzz glouglou;svelte;Paris;false
5;ignorer d'avec;auprès de aussi;Les Abymes;false
6;entièrement;envers;Saint-Étienne;true
7;fusiller;tchou tchouu;Fort-de-France;false
8;tsoin-tsoin touriste;à bas de touriste groin groin;Les Abymes;false
9;partager;en plus de diplomate;Drancy;true
10;de peur que chef de cuisine;à l'entour de;Beauvais;false
