id;title;description;budget;deadline;location;app_user_id
1;ronron tsoin-tsoin pour;../fake-data/blob/hipster.txt;13169;2025-03-20;foule boum lors de;1
2;après-demain;../fake-data/blob/hipster.txt;23334;2025-03-20;bè oser prou;2
3;sage;../fake-data/blob/hipster.txt;17269;2025-03-20;fonctionnaire gestionnaire plic;3
4;de manière à tic-tac;../fake-data/blob/hipster.txt;28196;2025-03-20;proche de;4
5;cadre à condition que triste;../fake-data/blob/hipster.txt;1310;2025-03-20;pauvre de façon que;5
6;à la merci d’autant que;../fake-data/blob/hipster.txt;32146;2025-03-20;sus de façon à ce que tchou tchouu;6
7;blablabla hormis supporter;../fake-data/blob/hipster.txt;12251;2025-03-20;porte-parole;7
8;certes;../fake-data/blob/hipster.txt;7340;2025-03-20;areu areu depuis;8
9;demain de manière à ce que;../fake-data/blob/hipster.txt;6452;2025-03-20;dans la mesure où foule;9
10;avant que subito fade;../fake-data/blob/hipster.txt;6019;2025-03-20;groin groin incalculable concevoir;10
